file	mll
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001__04_BGI4.mll.out	-8.680172
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01__04_BGI4.mll.out	-8.681860
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p0__04_BGI4.mll.out	-8.684565
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p01__04_BGI4.mll.out	-8.681862
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p0__04_BGI4.mll.out	-8.684580
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p01__04_BGI4.mll.out	-8.681872
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p0__04_BGI4.mll.out	-8.684574
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p01__04_BGI4.mll.out	-8.681718
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p0__04_BGI4.mll.out	-8.684512
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01__04_BGI4.mll.out	-8.681748
