file	mll
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1__03_BGI3.mll.out	-8.662803
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1__04_BGI4.mll.out	-8.694383
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p001__01_BGI1.mll.out	-6.735376
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p001__02_BGI2.mll.out	-8.160127
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p001__03_BGI3.mll.out	-8.673258
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p001__04_BGI4.mll.out	-8.680229
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__01_BGI1.mll.out	-6.735376
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__02_BGI2.mll.out	-8.156241
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__03_BGI3.mll.out	-8.662784
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__04_BGI4.mll.out	-8.694194
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001__01_BGI1.mll.out	-6.735376
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001__02_BGI2.mll.out	-8.160034
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001__03_BGI3.mll.out	-8.671746
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001__04_BGI4.mll.out	-8.679349
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__01_BGI1.mll.out	-6.735376
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__02_BGI2.mll.out	-8.156149
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__03_BGI3.mll.out	-8.661533
